st_nm,area_km2,perimeter_km,compactness,mobility_class
Andaman & Nicobar Island,7817.8544175941115,3557.4187322488647,128.8165064516108,Difficult
Arunanchal Pradesh,85847.95059969639,2616.734076251448,6.347144249330966,Moderate
Assam,81210.1481441936,3004.427604261099,8.845090988358573,Moderate
Bihar,94563.82662229681,2742.0864428438676,6.327415666823951,Moderate
Chandigarh,118.6956238273934,52.69498531681647,1.86162837033333,Easy
Chhattisgarh,135185.68441539834,3098.8258265537593,5.6526585160506135,Moderate
Dadara & Nagar Havelli,501.47552290105693,182.5343641136287,5.287235501595054,Easy
Daman & Diu,111.42374053934233,108.86489035342046,8.464222390941002,Easy
Goa,3676.7791887872904,442.80623581250893,4.243742537867277,Easy
Gujarat,190091.06856002973,7586.742200028428,24.095617590800675,Moderate
Haryana,44312.85276859173,2256.2636468462856,9.141955492939887,Easy
Himachal Pradesh,55836.28580065491,1541.1550931194267,3.385051579268029,Easy
Jammu & Kashmir,223282.96712004638,3424.7052166053827,4.180034981939198,Difficult
Jharkhand,80270.78839368258,2845.8947402348085,8.029144203401437,Moderate
Karnataka,192919.07609078963,4715.704324361411,9.17290891082009,Moderate
Kerala,39028.46782502416,1789.4308208429227,6.528861335330315,Easy
Lakshadweep,676.159599159493,403.0339963590155,19.117155128248893,Easy
Madhya Pradesh,308790.8115512917,6739.94209784008,11.706769910998378,Difficult
Maharashtra,309822.5666251899,5209.941452471353,6.9717492521918185,Difficult
Manipur,23250.15867462203,895.5935948812697,2.7452705874430756,Easy
Meghalaya,23034.344000597153,1139.1950401274214,4.483420186588899,Easy
Mizoram,21865.399905285958,1001.6232093795404,3.6512406207386237,Easy
Nagaland,17349.883760101286,937.6545366016296,4.032536149662806,Easy
NCT of Delhi,1508.1168826308588,214.65185652561252,2.431215281281843,Easy
Puducherry,500.8713997855709,477.72608122004976,36.25941480380543,Difficult
Punjab,50747.14498622113,1688.4603382782957,4.470532263565036,Easy
Rajasthan,346807.35829409293,5170.25987968375,6.133742829836959,Difficult
Sikkim,7225.842735902679,429.52499516506737,2.031783823848704,Easy
Tamil Nadu,130051.65274289415,3352.762097311296,6.878262103522727,Moderate
Telangana,111975.37521910376,2360.2335156801337,3.9589183083806376,Moderate
Tripura,10747.0069457618,778.3126507923535,4.485488731947569,Easy
Uttar Pradesh,240800.44779618317,5554.905031351442,10.197297908738673,Difficult
Uttarakhand,53698.11588804368,1520.829912012195,3.4276097068278375,Easy
West Bengal,86328.87671151383,7850.276461400996,56.80714109668852,Difficult
Odisha,156317.8034595922,3480.8819081443503,6.168211490834149,Moderate
Andhra Pradesh,163019.27028038897,5150.99775047108,12.9518825069829,Moderate
